Node,Degree Centrality,Betweenness centrality,Closeness centrality,PageRank,Hubness,Authorities
Tetsuya Sakai,0.013157894736842105,0.0,0.37073170731707317,0.004172038855574223,0.004293630000734896,0.004293630000734897
Mihai Horia Popescu,0.013157894736842105,0.0,0.37438423645320196,0.004287531069891003,0.004289612069692545,0.004289612069692542
Falk Scholer,0.09210526315789473,0.0,0.5241379310344828,0.018772259006014088,0.029984863661138703,0.0299848636611387
J. Shane Culpepper,0.013157894736842105,0.0,0.37438423645320196,0.004287531069891003,0.004289612069692545,0.004289612069692542
Yunke Qu,0.013157894736842105,0.0,0.37438423645320196,0.004287531069891003,0.004289612069692545,0.004289612069692545
Rishabh Mehrotra,0.013157894736842105,0.0,0.37438423645320196,0.004287531069891003,0.004289612069692545,0.004289612069692545
Mounia Lalmas,0.013157894736842105,0.0,0.37438423645320196,0.004287531069891003,0.004289612069692545,0.004289612069692545
Ben Carterette,0.013157894736842105,0.0,0.37438423645320196,0.004287531069891003,0.004289612069692545,0.004289612069692545
Mark Sanderson,0.09210526315789473,0.0,0.5241379310344828,0.018772259006014088,0.029984863661138703,0.02998486366113871
Luca Vassena,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.0043941260097427924
Luca Di Gaspero,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.004394126009742788
Carlo Tasso,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.004394126009742798
Paolo Coppola,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.004394126009742798
Omar Alonso,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.00439412600974279
Elena Nazzi,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.0043941260097427924
Giorgio Brajnik,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.004394126009742789
Fabio Crestani,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.004394126009742793
Claudio Carpineto,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.004394126009742794
Marco Pavan,0.013157894736842105,0.0,0.38190954773869346,0.00442780989695848,0.004394126009742792,0.004394126009742794
Julio Gonzalo,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449199
Lawrence Cavedon,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449193
Johanne R. Trippas,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449197
Jorge Carrillo-de-Albornoz,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449197
Maarten de Rijke,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449198
Arkaitz Zubiaga,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449196
Hideo Joho,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449196
Edgar Meij,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449198
Flora Salim,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449197
W. Bruce Croft,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449198
Víctor Fresno,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.0046744559744491985
Raquel Martinez,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449199
Yongli Ren,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449196
Ryen W. White,0.013157894736842105,0.0,0.39378238341968913,0.004526358760472314,0.004674455974449197,0.004674455974449198
Philippe Cudre-Mauroux,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456778
Djellel Difallah,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.00450543391045677
Ujwal Gadiraju,0.07894736842105263,0.0,0.5170068027210885,0.01656403766363039,0.0267457726308905,0.026745772630890494
Tereza Iofciu,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456774
Michele Catasta,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456772
Wolfgang Nejdl,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456775
Shazia Sadiq,0.039473684210526314,0.0,0.44970414201183434,0.00952081368536253,0.01376840455072027,0.013768404550720263
Lei Han,0.07894736842105263,0.0,0.5170068027210885,0.01656403766363039,0.0267457726308905,0.026745772630890514
Peter A Bath,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456776
"Dr. Wasim Ahmed, PhD",0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456772
Karl Aberer,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.0045054339104567695
Alberto Tonon,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456772
Laura Sbaffi,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456776
Claudiu S. Firan,0.013157894736842105,0.0,0.38578680203045684,0.004451076635368958,0.004505433910456775,0.004505433910456772
Elena Simperl,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814299
Andrew Turpin,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814298
Cristina Sarasua,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814295
Luis-Daniel Ibáñez,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814298
Marco Basaldella,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814296
Mattia Zeni,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814299
Dante Degl'Innocenti,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814298
Pavlos Vougiouklis,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814299
Jonathon Hare,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814299
Carlo Alberto Beltrami,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814295
Richard Gomer,0.013157894736842105,0.0,0.3877551020408163,0.004439482185625156,0.004588514665814298,0.004588514665814298
